key,model,term,estimate,std_error,ci_low,ci_high,p_value,exponentiated,exponentiated_ci_low,exponentiated_ci_high,design_df,converged
M3_COEF_race_modelhispanic,M3,race_modelhispanic,0.19755560160156035,0.18278734328350277,-0.1623699916796775,0.5574811948827982,0.28092038095890765,1.218420809234645,0.8501266065734021,1.7462684462491613,261,TRUE
M3_COEF_race_modelnon_hispanic_black,M3,race_modelnon_hispanic_black,0.2945715461659789,0.15380933750245138,-0.008293608818525922,0.5974367011504838,0.05671075372345359,1.342551014311376,0.9917406882740409,1.8174541463710194,261,TRUE
M3_COEF_race_modelnon_hispanic_asian_other_multiple,M3,race_modelnon_hispanic_asian_other_multiple,0.17010316348505305,0.26654508613036476,-0.35474935933362506,0.6949556863037312,0.5239928189476788,1.1854271378073196,0.7013492078135813,2.003620284153178,261,TRUE
M3_COEF_regionmidwest,M3,regionmidwest,0.3654120415311956,0.15043397928969504,0.06919328659518181,0.6616307964672095,0.01590577962644467,1.4411076820475952,1.0716433234207285,1.937950161092211,261,TRUE
M3_COEF_regionsouth,M3,regionsouth,0.2912816414042767,0.13438124221790684,0.026672246342757833,0.5558910364657956,0.03121752677806034,1.3381414069080333,1.0270311343839609,1.7434938094217278,261,TRUE
M3_COEF_regionwest,M3,regionwest,0.03508634219565843,0.14271101373691716,-0.24592516201642073,0.3160978464077376,0.8060130504751599,1.0357091303395187,0.7819807445978263,1.3717644712854529,261,TRUE
M3_COEF_poverty_2below_200_fpl,M3,poverty_2below_200_fpl,0.2687042935278238,0.11608204245922998,0.040127756165310086,0.4972808308903376,0.02150666185161429,1.3082682204616927,1.0409437526799423,1.64424420845365,261,TRUE
M3_COEF_insurance_modelno_private,M3,insurance_modelno_private,0.08220930050152578,0.11047111748729424,-0.1353187941017526,0.2997373951048041,0.45753318892847794,1.0856830200517078,0.8734374206017973,1.3495043745852664,261,TRUE
M3_COEF_log1p.ERTOTY1.,M3,log1p(ERTOTY1),0.8146954132391965,0.10493943651578616,0.6080597224519994,1.0213311040263937,2.699266585115436e-13,2.258487662134295,1.8368639131352997,2.7768886325968785,261,TRUE
M3_COEF_log1p.IPDISY1.,M3,log1p(IPDISY1),0.349107700341991,0.21006502748170167,-0.06453023697800991,0.7627456376619919,0.0978945276935059,1.4178018798668186,0.9375077664317578,2.144155219326609,261,TRUE
M3_COEF_log1p.OPTOTVY1.,M3,log1p(OPTOTVY1),0.12721711827290852,0.06744565460298046,-0.005589764365393601,0.26002400091121064,0.060525746620699705,1.1356635643273296,0.9944258292989379,1.2969612145431755,261,TRUE
M3_COEF_log1p.OBTOTVY1.,M3,log1p(OBTOTVY1),0.20210221274134924,0.05678512738757892,0.0902869179984027,0.31391750748429575,4.5203463901515977e-4,1.223973107364522,1.094488267042176,1.3687768180468158,261,TRUE
M3_COEF_physical_health_3good,M3,physical_health_3good,0.22203903798787145,0.13118358317129014,-0.03627386351566858,0.4803519394914115,0.09188906545544466,1.2486201205299907,0.964376149872294,1.61664326269245,261,TRUE
M3_COEF_physical_health_3fair_poor,M3,physical_health_3fair_poor,0.803715823260064,0.14421488204555302,0.5197430598957957,1.0876885866243322,6.978517001542462e-8,2.233826028691868,1.6815955248567767,2.9674072347964207,261,TRUE
M3_COEF_mental_health_3good,M3,mental_health_3good,-0.16314176221386054,0.12251504491466939,-0.4043854907711306,0.07810196634340952,0.18430790002807187,0.8494707570233562,0.667386800222411,1.081232902414845,261,TRUE
M3_COEF_mental_health_3fair_poor,M3,mental_health_3fair_poor,-0.01687873198410036,0.18695064294467661,-0.38500225666276233,0.35124479269456166,0.9281397683338056,0.9832629157482037,0.6804491006587079,1.420835093396029,261,TRUE
M3_COEF_walk_limitationyes,M3,walk_limitationyes,0.15704697780491636,0.11686777338234515,-0.07307673817282026,0.387170693782653,0.1803370404944056,1.1700505790176765,0.9295294968936665,1.4728078689644952,261,TRUE
M3_COEF_cancer_y1yes,M3,cancer_y1yes,0.020754036877043643,0.11138368136381606,-0.19857098244084537,0.24007905619493264,0.8523508153189985,1.0209708995608167,0.8199015700601203,1.2713496544147238,261,TRUE
M3_COEF_surgery_inpatient,M3,surgery_inpatient,-0.3080763798482466,0.1945060999195898,-0.6910773149939381,0.0749245552974449,0.11459262710883812,0.7348591874322549,0.5010360046082527,1.077802833303008,261,TRUE
M3_COEF_surgery_emergency_room,M3,surgery_emergency_room,0.13541868290508327,0.2060043976816551,-0.2702234896993574,0.5410608555095239,0.5116079033131966,1.1450160826671654,0.7632089059462523,1.7178282634699629,261,TRUE
M3_COEF_surgery_outpatient,M3,surgery_outpatient,-0.1709987862848686,0.13675565682549842,-0.4402836286228848,0.09828605605314761,0.21242539207135155,0.8428225964175375,0.643853779822311,1.1032783394205434,261,TRUE
M3_COEF_surgery_office_based,M3,surgery_office_based,-0.2655846439005195,0.14394319532273514,-0.5490224303722948,0.01785314257125581,0.06631360194692204,0.766757538789965,0.5775140947605227,1.0180134625719148,261,TRUE
M3_COEF_log1p.surgical_event_count.,M3,log1p(surgical_event_count),0.2625733136241869,0.12855486598525706,0.009436605262663655,0.5157100219857101,0.04224257774952133,1.3002717923116915,1.009481270407332,1.6748272438965093,261,TRUE
M3_COEF_PANEL23,M3,PANEL23,0.09093572181455352,0.10373394704199286,-0.11332624600990877,0.2951976896390158,0.38160528392522297,1.0951986056168366,0.8928593208036335,1.343391907098498,261,TRUE
M3_COEF_PANEL25,M3,PANEL25,-0.1814639291663534,0.13329879679242124,-0.44394188665148493,0.08101402831877813,0.17474092063486377,0.8340483295794434,0.6415026996140678,1.0843861085740703,261,TRUE
M3_COEF_PANEL26,M3,PANEL26,0.0030163841250495193,0.14277700144643599,-0.2781250561376948,0.2841578243877938,0.9831630296369007,1.0030209379892279,0.7572021228201983,1.3286426064123469,261,TRUE
